I feel like I can be myself at work.,My tasks at my work are in line with what I really want to do.,I am free to express my ideas and opinions on my work.,I really master my tasks at work.,I feel competent at work.,I have been able to learn interesting new skills at work.,"At my work, I feel part of a group.","At my work, I can talk with people about things that really matter to me.",People at my work care about me.,"Considering everything, I am satisfied with my work.",The team means a lot to me personally.,"If I could choose, I would continue working in my team one year from now.",I share my ideas with others to improve the team.,The things that I value in life are very similar to the things that the team values.,I feel understood by my supervisor.,My supervisor encourages me to ask questions.,My supervisor listens to how I would like to do things.,I have the opportunity to develop my social network at work.,People I work with are friendly.,The team could do more for me.,My family and friends appreciate the work I do for the team.,I am fairly rewarded considering the responsibilities I have.,I am fairly rewarded for the work I do well.,I feel my work has positive impact on other people.,"At work, I feel strong and vigorous.",I feel emotionally drained from my work.,I feel frustrated by my work.,What year were you born in?,What is your gender?,Team Name
Somewhat disagree,Neutral,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neutral,Sometimes,Sometimes,Sometimes,,,Organizational Transformation
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Somewhat disagree,Neutral,Neutral,Somewhat agree,Somewhat agree,Often,Sometimes,Sometimes,,,Organizational Transformation
Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Neutral,Neutral,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Often,Sometimes,Sometimes,,,Organizational Transformation
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Every day,Rarely,Rarely,,,Organizational Transformation
Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Very often,Rarely,Rarely,,,Organizational Transformation
Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Sometimes,Every day,Sometimes,,,Secretaría de Emergencias y Desastres
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Neutral,Somewhat agree,Somewhat disagree,Strongly agree,Neutral,Somewhat disagree,Somewhat disagree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Often,Every day,Every day,,,Secretaría de Emergencias y Desastres
Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Neutral,Strongly agree,Sometimes,Often,Often,,,Secretaría de Emergencias y Desastres
Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat disagree,Strongly disagree,Neutral,Sometimes,Sometimes,Sometimes,,,Secretaría de Emergencias y Desastres
Strongly agree,Strongly agree,Neutral,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Very often,Very often,Very often,,,Secretaria de Finanzas
Neutral,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Neutral,Somewhat disagree,Neutral,Somewhat disagree,Somewhat disagree,Neutral,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Somewhat agree,Neutral,Neutral,Somewhat disagree,Somewhat disagree,Neutral,Rarely,Often,Often,,,Secretaria de Finanzas
Somewhat agree,Neutral,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat disagree,Somewhat disagree,Neutral,Sometimes,Sometimes,Rarely,,,Secretaria de Finanzas
Somewhat agree,Somewhat disagree,Somewhat disagree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Neutral,Somewhat disagree,Neutral,Neutral,Somewhat disagree,Neutral,Somewhat disagree,Somewhat disagree,Neutral,Neutral,Neutral,Somewhat disagree,Somewhat disagree,Neutral,Rarely,Very often,Very often,,,Secretaria de Finanzas
Somewhat disagree,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Somewhat disagree,Strongly agree,Neutral,Somewhat disagree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neutral,Somewhat disagree,Often,Every day,Often,,,Secretaria de Finanzas
Strongly agree,Neutral,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Sometimes,Every day,Rarely,,,Secretaria de Finanzas
Neutral,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Sometimes,Often,Sometimes,,,Secretaria de Finanzas
Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Very often,Very often,Often,,,Secretaria de Finanzas
Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Rarely,Sometimes,Sometimes,,,Secretaria de Finanzas
Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Rarely,Very often,Often,,,Secretaria de Finanzas
Neutral,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neutral,Neutral,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Rarely,Rarely,Rarely,,,Secretaria de Finanzas
Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Neutral,Somewhat agree,Neutral,Somewhat disagree,Neutral,Often,Sometimes,Sometimes,,,Secretaria de Finanzas
Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Very often,Sometimes,Sometimes,,,Secretaria de Finanzas
Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Very often,Sometimes,Never,,,Secretaria de Finanzas
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Neutral,Somewhat agree,Very often,Often,Never,,,Secretaria de Finanzas
Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Sometimes,Sometimes,Sometimes,,,Secretaria de Finanzas
Somewhat agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Very often,Almost never,Rarely,,,Secretaria de Finanzas
Somewhat agree,Neutral,Neutral,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Neutral,Neutral,Somewhat disagree,Somewhat disagree,Neutral,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Somewhat agree,Somewhat agree,Neutral,Strongly disagree,Strongly disagree,Somewhat disagree,Sometimes,Often,Very often,,,Secretaria de Finanzas
Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Neutral,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Neutral,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Very often,Sometimes,Sometimes,,,Secretaria de Finanzas
Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Somewhat disagree,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Rarely,Every day,Every day,,,Secretaria de Finanzas
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Sometimes,Sometimes,Often,,,Secretaria de Salud y Educación
Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neutral,Neutral,Neutral,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Often,Sometimes,Sometimes,,,Secretaria de Salud y Educación
Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Very often,Rarely,Almost never,,,Secretaria de Salud y Educación
Neutral,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Strongly disagree,Strongly disagree,Neutral,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Neutral,Neutral,Somewhat agree,Neutral,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Sometimes,Very often,Every day,,,Secretaria de Salud y Educación
Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neutral,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Often,Often,Very often,,,Secretaria de Salud y Educación
Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Often,Sometimes,Rarely,,,Secretaria de Salud y Educación
Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat disagree,Strongly agree,Sometimes,Sometimes,Very often,,,Secretaria de Salud y Educación
Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Every day,Often,Never,,,Secretaria de Salud y Educación
Neutral,Neutral,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat disagree,Neutral,Somewhat agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Often,Sometimes,Sometimes,,,Secretaria de Salud y Educación
Neutral,Neutral,Somewhat agree,Neutral,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Very often,Sometimes,Sometimes,,,Secretaria de Salud y Educación
Neutral,Somewhat disagree,Somewhat agree,Neutral,Somewhat disagree,Neutral,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Somewhat agree,Neutral,Neutral,Strongly agree,Often,Rarely,Sometimes,,,Secretaria de Salud y Educación
Somewhat disagree,Somewhat disagree,Neutral,Somewhat disagree,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat disagree,Neutral,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neutral,Neutral,Somewhat disagree,Somewhat disagree,Strongly agree,Neutral,Somewhat disagree,Somewhat disagree,Strongly agree,Rarely,Every day,Every day,,,Secretaria de Salud y Educación
Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Sometimes,Sometimes,Often,,,Secretaria de Salud y Educación
Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Sometimes,Sometimes,Sometimes,,,Coordinación Gral Filial
Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Often,Every day,Every day,,,Coordinación Gral Filial
Somewhat agree,Strongly disagree,Neutral,Somewhat agree,Strongly agree,Somewhat disagree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Neutral,Somewhat agree,Strongly agree,Neutral,Strongly disagree,Somewhat disagree,Strongly agree,Very often,Often,Sometimes,,,Coordinación Gral Filial
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Every day,Rarely,Almost never,,,Coordinación Gral Filial
